2	TOC Heading	مادران و دختران
273	Normal (Web)	چشمش سمت درب دهلیز هست. «گفت دلش تنگ شده؛ بیرون میره چند دقیقه. مه خو نمی‌فامم از ناز دخترا.» و‌ باز جویده، جویده اضافه می‌کند: «ولا که بفامم از ناز دخترای ای زمانه.»
274	Normal (Web)	خنده‌ام می‌گیرد. دستیار داکتر، در این میان از اتاق بیرون شده، شماره ۲۴ را بلند صدا می‌کند. زن با عجله کاغذِ دستش را به چشمش نزدیک می‌کند. چشمش را تنگ می‌کند و بلند می‌گوید: «هفت تا؛ هفت شماره مانده…» آهی پر سر و صدایی می‌کشد. سنگینی نگاهم را احساس می‌کند.
275	Normal (Web)	«ماسکت ره پایین کو چهریته ببینم.» پایینش می‌آورم. بوی دارو، ضد عفونی و عرق زود به دماغم می‌پیچد. زن می‌گوید: «ما هم د جوانی سر و صورتی داشتیم. مگم کلش ماند د همو جوانی.» می‌گویم: «بی‌دلیل نبوده که پُخته عاشقت بوده!» هیچ نمی‌گوید. با شیطنت می‌گویم: «خاله خانیت کجاست؟ یک‌روز بیایم از او دوران‌ها برم قصه کنی.» هِروهِر می‌خندد و من متوجه دندان‌های سیاه و بد شکلش که از وسط دو لب خشک ‌و باریکش بیرون ‌زده، می‌شوم.
276	Normal (Web)	«چی بگویم بچیم، دوران‌هایی بود که می‌گفتم نبینمش روزم شَو نمیشه. او دوران "ملی بس‌ها"[FOOTNOTE] بود. پنج رُپیه می‌دادیم از دهدادی تا شارِ مزار می‌بُرد. ما خو‌ می‌رفتیم درس خواندن مگم دخترا می‌فامید که او خاطر مه آمده. موهایشه تا شانه روغنی می‌کد. او وقتا عکس و ویدو نبود یا نمی‌فامم شاید ده دهدادی فقط نبود. پُست‌کارت‌های دخترای فیلم ده دکانش زیاد بود. برم پُست‌کارت‌های "سری‌دیوی" و "ماملانی" می‌آورد. میفامید که زیاد خوش دارم. زیر بالشتم می‌ماندم‌شان. هر شَو زیر بالشتم می‌ماندم، صبح ده دخترا نشان می‌دادم. هیچ‌کس اوقه پُست‌کارت نداشت؛ فقط مه داشتم. او وقتا دیگه وقتا بود. درس می‌خواندیم. جوراب می‌پوشیدیم با دامن‌های کوتاه. موهای ما ره بی‌کوتی می‌کدیم.»
277	Normal (Web)	پراکنده و نامنظم به حرف‌هایش ادامه می‌دهد. اما هر جمله را خوب مزه مزه می‌کند و نگاهش رنگ همان جمله را می‌گیرد. 
باز ادامه می‌دهد‌ « پشت حویلی ما یک خرابه بود، کنواله می‌گفتیم. مادرم اونجه مال نگاه می‌کد. اَفتَو[FOOTNOTE] که ده تابستان تا نصف کنواله می‌رسید، وقتِ مکتب ما می‌شد. می‌دویدم تا ببینمش.»
278	Normal (Web)	آب دهنش را قورت می‌دهد. لب‌های خشک و بی‌جانش را با زبان تر می‌کند. در لحنش خنده می‌دود. «یک روز یک دیشک شیربرنج پختم. مادرمه گفتم ببوجان به زرغونه می‌برمش. نگفتم به او می‌برم؛ نمی‌شد بگویم. رفتم طرف مکتب. تا پیش دکانش رفتم. مشتری دم‌ رویم بیرون شد. از پشت شیشه می‌دیدمش. کَسِت‌هایشه سر تاقچه جور می‌کد. دست و پایم بید‌واری می‌لرزید. صدای دیشک ره از درون پلاستیک می‌شنیدم. با خود گفتم از مکتب آمدم حتمن برش میتمش. او روز خانه آمدم. دیشک ره پیش رویم ماندم. مادرم گفت چرا ندادی؟ گفتم زرغونه مکتب نامده بود! دلم او‌ روز پُر بود. زیاد گریه کدم. وقتِ برگشتن هم‌ برش دیشک ره داده نتوانسته بودم.  پیش خود گفتم حتمن تا حالی خراب شده. مگم خجالتی بودم. نتوانستم داده.»
279	Normal (Web)	این‌جا که می‌رسد زبانش را می‌گیرد. از جایش تند و‌ سریع بلند می‌شود. رد نگاهش را که می‌گیرم در کنارِ دروازه، به عروسش و پیرمرد کناری‌اش می‌رسم. با جستی خودش را به آن دو می‌رساند. پیرمرد چیزی می‌پرسد و زن با اشاره به کاغذ دستش به جواب آن می‌رسد. پیرمرد هم نگاهی به سر تا تهِ دهلیز انداخته بیخ‌گوشی به زن چیزهایی می‌گوید. زن در نهایت عروسش را به معاینه خانه داکتر می‌فرستد و خودش جلو چادری‌اش را دوباره بلند می‌کند و مضطرب سر جایش می‌نشیند. سوالی نگاه می‌کند: «خوب می‌شده باشه؟» عروسش را می‌گوید. « خوب میشه. خوب میشه. حتمن دواهایی هم داده بخاطر تقویت خودش و‌ طفلش؟»
280	Normal (Web)	«تا حالی دو نسخه گرفتیم، ببینیم ای بار چی میگه؟ ای بار اگه خدا مهربان شوه!»
281	Normal (Web)	«مردی که با عروست آمد، شوهرت بود؟»
282	Normal (Web)	«ها او هم بیخی مسلمان خسته شد ده بیرون.» صدایش را آهسته می‌کند و به گوشم نزدیک‌تر می‌شود. «میگن ده بیرون نمبر‌های جلو ره کمی قیمت‌تر سودا می‌کنن؟»
283	Normal (Web)	گنگ نگاه می‌کنم. « نمبرهای چی خاله؟»
284	Normal (Web)	« همی نمبرهای نوبت ره میگم دیگه. »
285	Normal (Web)	تازه به عقلم می‌رسد. «خااا… »
286	Normal (Web)	«خاله راستی سواد داری؟»
287	Normal (Web)	«ها کم و تُم مکتب خواندیم، مگر ما ره زود شوی دادن؛ کُلشه نشد بخوانیم.»
288	Normal (Web)	«خو شما دل داده بودین دیگه.»
289	Normal (Web)	«مگم او خو مره نگرفت! »
290	Normal (Web)	یک آن یخ می‌بندم. لحن شیرین چند لحظه قبلش را بیاد می‌آورم. زن ادامه می‌دهد: «نشد دیگه. قسمت نبود. باز راهِ ما جدا شد. طوی کدم کتی حاجی. چار بچه و چار دختر آوردم. حالی او دوران‌ها یادم میایه می‌خندم.»
291	Normal (Web)	«یعنی او هیچ اقدام نکد؟»
292	Normal (Web)	«چرا… زیاد از پدرم طلب کد. خو مگم همی دفه آخر بیخی پدرم تند رفت. ما یک بیدر داشتیم، پدرم گفت دخترمه میتم مگم ده بچیم سر هر دختر که دست ماندم، هم سنوی خودتانه طوی کنین هم سنوی ما ره. او وقتا ای گپا زیاد بود. آغایم همی گپه که گفت، باد ازو روز دیگه ندیدیمشان. »
293	Normal (Web)	«فقیر بودن؟»
294	Normal (Web)	« نی، نی او وقتا هیچ کس غریب نبود، کلگی یک سطح بود. کلگی مال داشت. کلگی زمین داشت. هیچ کس بی‌‌پیسه نبود. خو قسمت نبود. ده حاجی مره داد. میگفتن یک بیست سال از تو کده کلان اس، او وقتا بیخی عادی بود. ها، ها یک بیست سال از مه کلان است حاجی.»
295	Normal (Web)	«مگم معلوم نمیشه بیست سال کلان باشه.»
296	Normal (Web)	با حسرت می‌گوید « هی، بچیم زن زود پیر میشه، زن زود خوده خراب می‌کنه!»
297	Normal (Web)	در حینی که چادری‌اش را در سرش جابجا می‌کند، می‌گوید «رفتیم دیگه پناه‌گکت به خدا.» متوجه عروسش می‌شوم که تازه از معاینه خانه با دو تکه کاغذ برگشته است. بعدِ آن صدای دستیار داکتر که شماره کارتم را بلند می‌خواند در میان تصویر زن و عروسش که هردو با هر صدا کوچک و کوچک‌تر می‌شود، دخالت می‌کند.»
299	Heading 2	از نسلی به نسل دیگر و از جنگی به جنگ
300	Normal	وحیده ابراهیمی
301	Normal	غرق در حل معادلات مجهول ریاضی بودم که ناگهان صدای گلوله بلند شد. آن ‌وقت ‌ها، نگرانی‌های سپری‌کردن امتحان کانکور، شب و روز برایم نگذاشته بود. از پنجره‌ی کوچک اتاق، نگاهی به بیرون انداختم. از سپیده ‌دم خبری نبود. شیشه‌ها شروع به لرزیدن کردند. رگبار شلیک‌های پی ‌در‌پی بود که تمامی نداشت و بی ‌اختیار حلقه‌ای هردو چشمم خیس اشک شد. بی‌صدا اشک می‌ریختم. صورتم از شوریی اشک می‌سوخت.
302	Normal	بعد از چند ساعت، سکوت مطلق حاکم شد؛ سکوت وحشتناکی که بوی خون و مرگ می‌داد. سرم را از آغوش مادرم جدا کرده و به صورتش نگاه کردم. نگاهش به نقطه ‌ای نامعومی بطرف پنجره خیره مانده بود. آرام به نظر می‌رسید. موهای پریشانم را کنار زد. نمی‌دانم چه‌قدر  گذشت تا لب به سخن باز کردم:
303	Normal	— مادر، نترسیدین؟
304	Normal	لبخند اندوه‌باری روی لبانش جاری شد و گفت: «تو که خوب هستی، از چی باید بترسم؟»
305	Normal	— کی باشه؟ چی گپ شده باشد، این نیم‌شبی؟
306	Normal	— کی است دیگه، جان مادر؟ امی طالب است. باز خدا می‌دانه اولاد مردم را به چه بهانه کشتن.
307	Normal	— یعنی چطور؟ چطور ممکن است که در نیم‌شب به خانه ‌ی مردم حمله کنند و انسان‌ها را به خاک و خون بکشانند؟
308	Normal	— جنگ دخترم، جنگ! جنگ از آدم حیوان می‌سازه. چاره ‌ای نیست. ما هم با همین صداها و بدبختی زندگی می‌کردیم. و شما نسبت به ما اندک خوشبخت‌تر بودین که تا حال از این وحشت دور بودین. ولی فراموش نکن، این‌جا افغانستان است؛ هر لحظه ممکن است یک واقعه غیر منتظره پیش بیاید.
309	Normal	نمی‌دانستم چی بگویم. هیچ کلمه‌ای نمی‌تواند کشتن یک انسان  را توجیه کند. با نگرانی که روی زبان و کلماتم تاثیر گذاشته بود، پرسیدم:
310	Normal	—در کودکی و جوانی شما جنگ میان کی‌ها بود؟ می‌شه کمی بگوین؟
311	Normal	— جان مادر، تو امیالی هم ترسیدی. بعداً قصه می‌کنم بریت، حالی کوشش کو بخوابی.
312	Normal	— شما قصه کنین، مه هم کوشش می‌کنم بخوابم.
313	Normal	— جنگ، جنگ است. قصه‌  نیست که پایان خوب داشته باشد. ما از صلح و آرامی کده زیاد همرایش آشنا هستیم. جوی و جویبار ای کشور پر از خون جوان‌مرگ‌هایش است.
314	Normal	و ادامه می‌‌دهد.
315	Normal	«جان مادر، مه خرد بودم که شوروی حمله کرد. هر کسی که پیش رویش آمد، کشت. مردم ما در مقابل شوروی کاری نمی‌توانستند؛ کلان ارتش بود و یک دنیا تجهیزات داشت. ما اولین بار بود که اوقسم موتر‌های جنگی را می‌دیدیم.
316	Normal	کم‌کم یادم می‌آید، رفته بودم خانه‌ی خاله‌کلانت که خبر شدیم شوروی حمله کرده. آن‌جا چند روز گیر ماندیم. وقتی برگشتیم خانه‌ی خودمان، از هر خانه چند نفر کشته شده بود. آن سال‌ها اموتو ادامه پیدا کرد، با کمی مقاومت مردمی. هر کسی در هر طرف کشور حزب و جبهه ضد شوروی تشکیل داد، ولی سرنوشت مردم تاریک و سیاه شد. شوروی کودکی ما را گرفت.
317	Normal	نوجوانی ما در جنگ‌های داخلی بین مجاهدین و دولت کابل گذشت. مجاهدینی که ضد روس‌ها می‌جنگیدند، مکتب‌های دخترانه ولسوالی ما را آتش زدند. چند روز می‌شد که کتاب‌های صنف سوم را گرفته بودم. دیگر از درس خبری نشد. مکتب ما تبدیل به میدان جنگ شده بود. یک روز دراختیار دولت بود، روز دیگر در اختیار مجاهدین. خانواده‌ها دیگر اجازه نمی‌دادند که درس بخوانیم.هنوز که هنوز است، لباس مکتبم یادم می‌آید.
318	Normal	یکی می‌رفت، یکی دیگر قدرت را می‌گرفت. کسی که بر نمی‌گشت، مرده‌ها بودند. ما جز جنگ و دربه ‌دری قصه‌ای دیگری نداریم. ولی ای کاش شما تجربه نمی‌کردید.»
319	Normal	تصور اینکه جای مادرم باشم، غیرممکن بود. نمی‌خواستم دیگر سوالی بپرسم. یادآوری آن سال‌ها برایش دشوار بود. لرزش صدایش و بغض گلویش هر لحظه بیشتر و بیشتر می‌شد. سکوت کردم؛ اما او ادامه داد: «خانه‌ی ما بین شهر بود. یک طرف ما دولت، طرف دیگر ما مجاهدین. جان مردم پیش هردو طرف هیچ ارزشی نداشت. هردو طرف خدا گفته می‌کشتند. در آخر روز، کسی نمی‌دانست مسلمان کیست؟ در منطقه‌ی ما، این جنگ را "مسلمان‌جنگی" می‌گفتند.»
320	Normal	— مادر، به جز جنگ، مشکل دیگری وجود نداشت؟ یعنی زندگی مردم چطور بود؟ بعد از درگیری‌ها چه‌طور پیش می‌رفت؟
321	Normal	«چطور مشکل نبود جان مادر. مردم ما را اگر جنگ نمی‌کشت، گرسنه‌گی می‌کشت، بیماری می‌کشت. اگر از این دو نجات پیدا می‌کردند، سرمای زمستان و آفتاب سوزان تابستان می‌کشت.
322	Normal	یادم می‌آید، محل ما دو بار محاصره شد: اولی شش روز و دومی دوازده روز دوام کرد. مرمی بود که مثل باران از آسمان می‌بارید. مردم از خانه‌هایشان فرار کرده و به خانه‌ی ما آمده بودند. هر کسی هر چه در توان داشت، همراه خود آورده بود. باغ و حویلی ما کلان بود. آغایم هر ره‌گذری را که می‌دید، به‌خاطر که زنده بماند به خانه می‌آورد. هر چیزی که برای خوردن داشتیم، بسیار زود تمام شد.
323	Normal	آن زمان‌ها، آغایم دوکان داشت. چون سنش زیاد بود، هر دو طرف جنگ با او کاری نداشتند. هر چیزی که می‌توانست، برای مردم از دوکان می‌آورد. ولی به آن حجم از مردم نه جای کافی بود و نه نان کافی. زمستانِ سختی بود. هم غم نان و هم غم جان.
324	Normal	زن‌ها در روی حویلی زیر برف و باران می‌خوابیدند. جای کافی تنها برای کوکان بود. مردها همه در باغ بودند. ما فقط یک مهمان‌خانه‌ی کوچک داشتیم که جز چند پیرمرد، کسی دیگری جا نمی‌شد. ما از یک روز به روز دیگر و از یک فصل به فصل دیگر پناه بردیم. زندگی ما این‌طور ادامه پیدا کرد.»
325	Normal	سکوتی طولانی میان حرف‌های مادرم حکم‌فرما شد. دیگر نخواست چیزی بگوید. حسرت زیادی پشت واژه‌هایش حس می‌شد. سوال‌های زیادی در ذهنم، بی‌جواب بود. نمی‌خواستم درباره‌ی کسی که زنده نیست بپرسم، ولی کنجکاوی باعث شد بپرسم:
326	Normal	— از مامای کلانم قصه کنید؟
327	Normal	—  آه بچیم! مامایت نورِ چشمِ خانه‌ی ما بود. بعد از پنج خاله‌ات، مامایت به دنیا آمده بود. همگی دوستش داشتند. بچه‌ای خوش‌اخلاق و خوش‌چهره بود. اهل کتاب بود و شعر دوست داشت. در مکتب اول‌نمره و دوم‌نمره می‌شد. سرِ همین موضوع هم زیاد جنجال‌ها شده بود. نمی‌دانم چه رشته تحصیلی را دوست داشت؛ اما هم در درس مسجد و هم مکتب لایق بود. خط بسیار خوبی داشت. به آن‌خوبی من هنوز خطی ندیده‌ام.
328	Normal	— کاش یک‌بار می‌دیدمش! چه‌قدر  عادت‌هایش مشابهم بوده. راستی سر اول‌ و دوم‌نمره شدن، چه‌قسم جنجال می‌شد؟ کدام کتاب‌ها را می‌خواندند؟
329	Normal	— خدا به تو زیاد عمر بته! مامایت و بچه‌کاکایم هم‌صنفی بودند، هر دوی‌شان لایق بودند. او وقت‌ها اطلاع‌نامه و این چیزها نبود. امتحان‌ها که تمام می‌شد، نمره‌خوانی می‌کرند. باری مامایت را مدیر مکتب‌شان اول نمره‌ اعلام کرد، وقتی به خانه آمده بود، خیلی خوشحال بود. آغایم هم کم‌کم فکر می‌کرد که مکتب جای خوبی ا‌ست. اگرنه، همه می‌گفت: "هر کسی که مکتب رفت، کافر می‌شه. زبان کافرها ره یاد می‌گیره." مامایت صبح همان روز وقتی مکتب رفته بود، برایش گفته بودند که اشتباه شده؛ تو اول‌نمره نشده‌ای، بلکه بچه‌کاکایت  اول‌نمره شده. او وقت‌ها وضعیت از حالا بدتر بود. در این وطن هر کس لیاقت و فهم داشته باشد، به جایی نمی‌رسد. راست است که می‌گویند: "یا پول داشته باش، یا زور. " لیاقت و استعداد را در افغانستان کسی نمی‌‌بیند.
330	Normal	— مادر، درباره‌ی کتاب‌های‌ مامایم چیزی نگفتین، حالا هم است؟
331	Normal	—  بچیم، من کوچک بودم. از کتاب چی می‌فهمیدم که چی است؟ و کدام کتاب را می‌خواند. فقط دیوان حافظ، چهارکتاب و میرزا غیاثی را مسجدها، کتاب دینی گفته درس می‌دادند؛ شاید همین‌ کتاب‌ها بوده باشد. ما کجا، بعد از خودش دل و دماغ دیدن طرف کتاب‌هایش را داشتیم؟ خودش نماند، کتاب‌ هایش را چه کنیم؟ شاید گم شده باشد، شاید هم باشد.
332	Normal	— چرا مامایم درس نخواند و چطور شد که پدرکلانم اجازه داد، به مجاهدین بپیوندد؟
333	Normal	— از روی مجبوری، مامایت مجاهد شد. هر دو طرف می‌گفتند: "دو بچه کلان داری، یکی‌شان را باید به ما تسلیم کنی. " ما یک برادر بزرگ دیگر هم داشتیم به‌نام دستگیر که من ندیدمش. می‌گویند چهار یا پنج ساله بوده که فوت شده، ولی تذکره‌اش پیش دولت ثبت بود. هر چه‌قدر که پدرم می‌گفت فوت شده، دولت باور نمی‌کرد. پدرم طرفدار هیچکدام از طرف‌های درگیر نبود؛ نه از مجاهدین و نه از دولت. او وقت‌ها، کسی که یک بچه کلان داشت، می توانست "مجله‌ی بی‌کسی" بگیرد. ما هم گرفتیم، اما دولت قبول نکرد و گفت: "باید یکی از بچه‌هایت از وطن دفاع کند! "چون بچه‌کاکایم در دولت کشته شده بود، آغایم مجبور شد که بگوید: "برو جبهه. " خودش نمی‌خواست به جبهه مجاهدین برود. او می‌خواست درس بخواند. مثل همه‌ی ما که از درس خواندن ماندیم.
334	Normal	— از طرف‌های درگیر، حق با کدام یکی بود؟ در دولت را کی‌ها بودند و مامایم چرا به دولت نرفت؟
335	List Paragraph	چه بگویم بچیم. هرکسی که سلاح داشت، خودش را برحق می‌دانست. دولت او وقت هم کمونیستی و دست‌نشانده‌ی شوروی بود. مردم طرفدار دولت نبودند. بعد، هر قومندان برای خود جبهه و حزب تشکیل داد.
336	List Paragraph	بعدش چه شد؛ قصه مامایم را کامل نگفتین؟
337	List Paragraph	مامایت به ناچار به جبهه‌ی ضد دولت پیوست. سنگر شان بالای کوه‌ها موقعیت داشت. احوالش را به مشکلی می‌شد گرفت. گاهی حتی هفته‌ها و ماه‌ها به خانه نمی‌آمد. بعد چند ماه، دختری را برایش خواستگاری کردیم. آغایم تلاش می‌کرد، هرچه زودتر جشن عروسی پسر بزرگش را برگزار کند. نامه‌‌ای به مامایت فرستادیم و خواستیم، هرچه زودتر به خانه برگردد. دقیق یادم است، چند روز بعد، بعدازظهر بود که آمد. همه داشتیم در میانه‌ای جنگ، بساط عروسی‌اش را برپا می‌کردیم. دل همه تشنه‌ای خوشی و خوش‌حالی بود. کمی‌ بعد، آغایم گفت: "بعد از عروسی‌ات، جبهه نرو. مصروف زندگی خود باش. ما تا چی وقت چشم‌به‌راه آمدنت باشیم. همین‌جا پیشم باش. " مامایت موافقت کرده گفته بود: "خودمم خسته شده‌ام. جنگیدن بخاطر هدف نامعلوم معنایی ندارد. همه این قومندان ها خون اولاد مردم را به ناحق می‌ریزن. " با این‌حال از پدرم خواست، به او اجازه دهد که برای خداحافظی از هم‌سنگران خود و دعوت آنان به عروسی‌‌اش اجازه دهد.
338	Normal	مادرم نتوانست به صحبت ادامه دهد و ماجرای مامایم را بدون اشک چشم ادامه دهد. حلقه‌های چشمانش را آب دیدگانش پر کرد. با صدایی که دیگر درست شنیده نمی‌شد، گفت: «ولی آن رفتن، آمدنی نداشت. ما منتظر داماد شدنش بودیم، اما...
339	Normal	خاک شد هرکه در این خاک زیست/ خاک چی دادند که در این خاک کیست؟
340	Normal	قصه‌‌ی مامایم و غم مادرم بر من چیره شدند. نتوانستم اشک‌هایم را نگهدارم. همراه با مادر گریستم. او برای برادرش می‌گریست و من برای همه‌ی شاعرانی که در جنگ کشته شدند.
341	Normal	مادرم  پس از چندی آه و اشک باز زبان باز کرد: «پس از چند سال، وضعیت کمی آرام شد. می‌گفتند آشتی ملی شده. بعد، حکومت‌ها تغییر کرد. نجیب روی کار آمد، کودتا شد. مجاهدین قدرت را به دست‌گرفت. پس از مجاهدین، طالب روی کار آمد و یک بار دیگر وحشت و قتل‌عام شروع شد. طالب که آمده بود، من و پدرت تازه عروسی کرده بودیم. پدرت همراه با سه برادرش، همه یکجا زندگی می‌کردند. کارخانه مسگری داشتند. بازار شان خوب بود؛ زندگی ما نسبتاً خوب می‌گذشت.
342	Normal	یکی دو ماه از آمدن طالبان گذشته بود که این بار آن‌ها سربازگیری اجباری را شروع کردند. دو کاکایت سربازی اجباری را گذرانده بودند و کارت داشتند، اما پدرت و کاکای خوردت را طالبان می‌خواستند به سربازی بگیرند. این بود که مجبور شدیم خانه خود را رها کرده، به شهر مزارشریف برویم. شهر مزارشریف اوضاع کمی بهتر از ولسوالی بود.
343	Normal	بعدا آمریکا به افغانستان حمله کرد و حکومت طالبان هم ساقط شد. این نیست که آمریکایی‌ها در این خاک جنایت نکرده باشند. آن‌ها هم هر جنایتی را که دوست داشتند، انجام می‌دادند. دار و ندار ما همان یک حکومت جمهوریتِ غرق در فساد بود. دل ما به آن حکومت بند بود که سرانجام کار، سقوطش را خودت دیدی.  معلوم نیست آینده‌ی این کشور چه خواهد شد. نه جنگ، جنگ ما است و نه هم صلح، صلح ما. چهل-پنجاه سال است که در آتش جنگ و کینه می‌سوزیم.»
344	Normal	مادرم سرم را تنگ میان آغوشش جا داد. صدای قلبش کم‌جان بود؛ اما حس می‌شد. دلش شکسته می‌نمود. موهای سیاهم زیر نوازش دست‌های مادرم بود. مثل این‌که داشت به حال خودش، به حال برادرش، به حال من و به بخت سیاه من و تما زنان سرزمینم می‌گریست. حس اولین قطره‌ای اشکش روی موهایم، اندوه عمیقی را در ته قلبم جا داد.
345	Normal	«صدای گلوله‌های را که هردو شنیدیم، برای تو هرچند تازه باشد؛ برای من تکرار رنج پنجاه سال جنگ است که حتی دیگر صدایش مرا به وحشت نمی‌اندازد. دخترم نترس، من هم نترسیده‌ام.»
350	Heading 1	پرونده‌ا‌ی برای سوتلانا الکسیویچ
351	Normal	چنان که در مقدمه آوردیم، سایه‌ی گریز‌ناپذیر الکسیویچ بر تمام هشت گفتگوی بخش اول این ویژه‌‌نامه دیده می‌شود. خواستیم تا به همین مناسبت، پرونده‌ی ویژه‌ای به ایشان اختصاص بدهیم و بدین طریق، عرض ارادتی و ادای دینی به این نویسنده‌ی خلاق و تأثیزگذار کرده‌باشیم.
352	Normal	این پرونده‌ی ویژه حاوی چهار یادداشت و نیز مجموعه‌ی از نظرات کوتاه دختران است. در اولین یادداشت، ز. حبیبی از مزار شریف، داستان مواجهه‌اش با «جنگ چهره زنانه ندارد» را نوشته و در واقع گزارش درخشانی به دست داده است از تجربه‌ی زن افغانستانی‌‌ای گیر مانده میان مردسالاری و استبداد که در تلاش است از طریق پرداختن به ادبیات رسالتی را بر دوش می‌کشد و ایستاده‌گی می‌کند. در یادداشت دوم، ضیافت‌الله سعیدی پرسیده که «آیا آصف سلطان‌زاده الکسیویچ افغانستان است؟» و از این طریق شباهت و احیاناً تفاوت‌های هر دو در پرداختن به جنگ را بررسی کرده ‌است. یادداشت سوم هم تجربه‌‌ی طاهر احمدی از مستندسازی روایات قربانیان جنگ در افغانستان است و تأکید بر اهمیت الگوی الکسیویچ برای بستر جنگ‌زده‌ای مانند افغانستان. یادداشت آخری، گزارش مفصلی است به قلم م. کلانترپور درباره‌ی حواشی، تاکتیک‌ها و درون‌مایه‌ی رمان «تابوت‌های رویین». این یادداشت خواننده‌ی افغانستانی را به خوبی از ظرایف و دقایق «تابوت‌های رویین» که از قضا جنگ افغانستان موضوع اصلی آن است، آگاه می‌کند.
353	Normal	قسمت واپسین این ویژه‌نامه، یادداشت‌هایی مختصری است از بامیان و مزار شریف درباره کتاب «جنگ چهره‌ی زنانه ندارد»؛  شش نظر کوتاه دختران بامیان و مزار که پس از خواندن این رمان نوشته شده‌است و خواننده‌‌ی این ویژه‌نامه را در جریان احوالات و نظریات این دختران قرار می‌دهد.
354	Heading 2	الکسیویچ‌خوانی در مزار
355	Normal	ز. حبیبی
356	Normal	به طرح جلد و عنوان کتاب خیره بودم. جنگ‌ چهره‌ زنانه ندارد. چه عنوانی! اما چرا؟ «زن، نازک‌طبیعت است، ازو لحاظ میگه!» برادرم سربه هوا به پاسخم رسیده بود. به او که نگاه کردم، داشت آخرین تکه‌ی نانش را داخل گیلاس شیر فرو‌ می‌بُرد و در دهانش می‌گذاشت. درهمان حال که لقمه را می‌جوید، چیزی زیر لب خواند و سپس قبل از آنکه از خانه بیرون شود، باقی‌مانده‌ی شیر ظرف را سر کشید. گیلاسش را در سینک‌ آشپزخانه انتقال دادم و در همان گوشه نشستم. عنوان کتاب را چند بار دیگر‌ هم تکرار کردم. کتاب راجع به جنگ بود و من آنقدر ازین کلمه پُر بودم که هیچ کششی وادارم نمی‌کرد، بخوانمش. برای کسی که بوی باروت و تفنگ را نفس کشیده است، روایت جنگ تازگی ندارد. کسی که زاده‌ و پرورش یافته‌‌ی مغز جنگ است، شنیدن هر‌ آنچه راجع به جنگ باشد نه وحشتناک است و نه جذابیتی دارد. تا دو روزِ تمام، نخواندمش و تا دو‌ روز دیگر نتوانستم بخوانمش.‌ گمان می‌کردم اگر لای کتاب بروم: آب، جوش می‌آید، شیر سر می‌رود، ظروف ناشسته باقی‌ می‌ماند، اتاق‌ها کثیف و لباس‌های چرک هی روی هم انبار می‌شوند. نمی‌دانم من با روزمرگی‌ها می‌جنگیدم یا روزمرگی‌ها با من. اما خواندن کتاب مدام از امروز به روز بعد موکول می‌شد. روز پنجم بود که بالاخره اولین صفحه‌ی کتاب‌را خواندم. و در همان روز، صفحه‌ی دومی، سومی، چهارمی و… باورم نمی‌آمد یک نفس صد و چند صفحه‌اش را بخوانم. خودم را گم کرده بودم. انگار میز گِردی مقابلم گذاشته بودند. در روبرویم پشتِ میز، چوکی چوبی سفیدی قرار داده بودند، خالی‌ای خالی. نوار ضبط روی میز بود. نمی‌دانم شبیه جلسه‌های تراپی بود یا گرفتن اظهارات در اداره‌ی بازرسی. نمی‌دانم. من هردو را فقط در فیلم‌ها دیده بودم. اما موقعیت شبیه این را به اولین بار حسش می‌کردم.
357	Normal	«من تاریخ احساسات تجربه‌شده را می‌نویسم… تاریخ روح را… نه تاریخ جنگ یا حکومت یا سرگذشت قهرمانان را.» ( جنگ چهره زنانه ندارد، ص ۵۹). کی به احساسات ارزش می‌داد؟ همه از جنگ خون می‌دیدند؛ جریان خون تازه روی برف، خون های منجمد روی بدن‌های مثله شده، خون‌های خشک شده روی لباس‌های پاره‌پوره سربازان. آنچه هم از جنگ در ذهن‌ها نقش می‌بست تیر اندازی بود و توپ، تانک، تفنگ، بمب، زخمی، کشته و در نهایت پیروزی یا شکست. دغدغه‌ی کی بود که چه بر سر روح آدمی آمده؟ کی از قتل و زخمی شدنِ احساس سرش می‌شد؟
